centroid	uniref90	B32_SW	129_VTPPs	CC57c	B91_TPP	ATCC51146	129_MSG	CSUNSWCD	B91_SC	CAM	129_VTPP	B91_SCBr
PROKKA_ATCC51146_01917 	UniRef90_C6RDM0|1050	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_01576 	UniRef90_M5IEJ5|669	1	1	0	1	1	1	1	1	1	1	1
PROKKA_CAM_00577 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CAM_00993 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CAM_00263 	UniRef90_B9D2M1|633	0	0	0	0	0	0	0	0	1	0	0
PROKKA_B32_SW_02038 	UniRef90_M5IFP0|165	1	1	0	0	0	1	1	0	0	1	0
PROKKA_ATCC51146_00454 	UniRef90_C6RET8|1209	0	0	0	0	1	0	0	0	0	0	0
PROKKA_B32_SW_01031 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_CAM_00268 	UniRef90_B9D2L4|3135	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_00236 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CSUNSWCD_00930 	UniRef90_M5IJP0|2259	1	1	0	0	0	1	1	0	0	1	0
PROKKA_CC57c_00971 	UniRef90_M3GZ39|228	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CSUNSWCD_00936 	UniRef90_M5IQB5|738	0	0	0	0	0	0	1	0	1	0	0
PROKKA_B32_SW_01859 	UniRef90_G9QW72|351	1	0	0	0	0	0	1	0	0	0	0
PROKKA_B32_SW_00523 	UniRef90_M3IMI5|678	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_00321 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_B32_SW_01584 	UniRef90_B9D5U4|174	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CSUNSWCD_00939 	UniRef90_M5IJP9|453	0	0	0	0	0	0	1	0	0	0	0
PROKKA_B32_SW_01853 	UniRef90_I1DP66|207	1	0	0	0	0	0	1	0	0	0	0
PROKKA_B32_SW_00529 	UniRef90_B9D4W8|2124	1	1	0	0	0	1	1	0	0	1	0
PROKKA_B32_SW_01851 	UniRef90_U2FFG3|156	1	0	0	0	0	0	0	0	0	0	0
PROKKA_ATCC51146_01943 	UniRef90_C6RDQ5|345	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CSUNSWCD_00595 	UniRef90_M5IIV3|789	1	1	0	0	0	1	1	0	0	1	0
PROKKA_CAM_01960 	UniRef90_M5IRK3|639	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CSUNSWCD_00598 	UniRef90_B9D2M2|1176	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CSUNSWCD_01345 	UniRef90_M5IKL6|723	1	0	0	0	0	0	1	0	0	0	0
PROKKA_CAM_00463 	UniRef90_B9CY16|645	0	0	0	0	0	0	0	0	1	0	0
PROKKA_B91_SCBr_01403 	UniRef90_M3IMH0|1899	0	0	1	1	0	0	0	1	0	0	1
PROKKA_CAM_00137 	UniRef90_B9CYT3|1032	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_01965 	UniRef90_C6RFS4|1053	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CSUNSWCD_01461 	UniRef90_C6RF21|1155	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_01408 	UniRef90_B9D2Y3|552	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_01101 	UniRef90_C6RFJ0|300	1	1	0	0	1	1	1	0	1	1	0
PROKKA_B32_SW_01452 	UniRef90_M5IHB9|546	1	0	0	0	0	0	1	0	0	0	0
PROKKA_B32_SW_01103 	UniRef90_B9D1S7|171	1	1	0	0	0	1	1	0	0	1	0
PROKKA_B32_SW_01450 	UniRef90_M5ILA0|1122	1	0	0	0	0	0	0	0	0	0	0
PROKKA_CC57c_01684 	UniRef90_M3JBD3|429	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_01840 	UniRef90_B9D4D6|192	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_01109 	UniRef90_M3I228|504	1	0	0	0	0	0	1	0	0	0	0
PROKKA_B32_SW_00452 	UniRef90_B9D0G1|1038	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_01645 	UniRef90_C6REX3|504	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_00986 	UniRef90_M5IQU8|534	1	0	0	0	0	0	0	0	0	0	0
PROKKA_129_MSG_02258 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_CAM_01843 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_B32_SW_00295 	UniRef90_M3H0E0|654	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_01688 	UniRef90_B9D408|564	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_02034 	UniRef90_B9D1Y0|1005	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_02008 	UniRef90_C6RIW1|2196	0	0	1	0	1	0	0	0	1	0	0
PROKKA_CAM_01325 	UniRef90_B9D156|192	1	1	1	0	0	1	1	0	1	1	0
PROKKA_CC57c_02031 	No_Uniref	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CC57c_02033 	UniRef90_B9D1X7|669	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_02006 	UniRef90_C6RIV9|291	0	0	1	1	1	0	0	1	1	0	1
PROKKA_B32_SW_00859 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_CSUNSWCD_00029 	UniRef90_M5IPP9|627	1	0	0	0	0	0	1	0	0	0	0
PROKKA_CSUNSWCD_00028 	UniRef90_M5INM5|240	1	1	0	0	0	1	1	0	0	1	0
PROKKA_CSUNSWCD_00021 	UniRef90_M5IN51|828	1	0	0	0	0	0	1	0	0	0	0
PROKKA_CSUNSWCD_00023 	UniRef90_M5INM1|117	0	0	0	0	0	0	1	0	0	0	0
PROKKA_CSUNSWCD_00022 	UniRef90_M5IH11|618	0	0	0	0	0	0	1	0	0	0	0
PROKKA_129_MSG_01854 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_CSUNSWCD_00027 	UniRef90_M5IH17|906	0	0	0	0	0	0	1	0	0	0	0
PROKKA_CSUNSWCD_00026 	UniRef90_M5IN54|234	0	0	0	0	0	0	1	0	0	0	0
PROKKA_129_MSG_01932 	UniRef90_M5IQQ2|396	1	1	0	0	0	1	0	0	0	1	0
PROKKA_129_MSG_01931 	UniRef90_M3JDX2|429	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_01291 	UniRef90_C6RD41|1533	1	1	0	0	1	1	1	0	1	1	0
PROKKA_B32_SW_00678 	UniRef90_A7ZCX6|1443	1	1	1	0	0	1	1	0	0	1	0
PROKKA_CC57c_00950 	UniRef90_C6RIN6|1050	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_00072 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_ATCC51146_01299 	UniRef90_C6RD33|597	0	0	0	0	1	0	0	0	0	0	0
PROKKA_CAM_00078 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_B32_SW_00671 	UniRef90_B9D1F9|1293	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_00672 	UniRef90_M5IQ30|171	1	0	0	0	0	0	1	0	0	0	0
PROKKA_B91_SCBr_02051 	UniRef90_A7ZCY2|513	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_02057 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B32_SW_01179 	UniRef90_C6RIQ7|117	1	0	0	0	0	0	0	0	0	0	0
PROKKA_B32_SW_00188 	UniRef90_A7ZFJ1|618	1	1	0	1	1	1	1	1	0	1	1
PROKKA_CC57c_00404 	No_Uniref	0	0	1	0	0	0	0	0	0	0	0
PROKKA_129_MSG_00004 	UniRef90_M5IKS3|762	1	1	0	0	0	1	1	0	0	1	0
PROKKA_CC57c_01366 	UniRef90_M3IJS2|777	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CC57c_00575 	UniRef90_X7ENM8|105	0	0	1	0	0	0	0	0	0	0	0
PROKKA_129_MSG_02234 	UniRef90_B9D5G0|621	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_01215 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_CSUNSWCD_00334 	UniRef90_M5INM4|1554	1	0	0	0	0	0	1	0	0	0	0
PROKKA_ATCC51146_01100 	UniRef90_C6RGJ4|1281	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_01929 	UniRef90_B9D3L6|657	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_01106 	UniRef90_C6RGI8|888	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_01107 	UniRef90_B9D1N2|456	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_01104 	UniRef90_B9D1M8|948	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_01212 	UniRef90_M5ICR9|486	1	0	0	0	0	0	0	0	0	0	0
PROKKA_B32_SW_00570 	UniRef90_B9D3L4|495	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_01108 	UniRef90_B9D1N3|930	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CSUNSWCD_00339 	UniRef90_M3GVH2|744	1	1	1	1	1	1	1	1	0	1	1
PROKKA_B32_SW_01218 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_CC57c_00114 	UniRef90_M3IN51|336	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CAM_01441 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_ATCC51146_00559 	UniRef90_C6RFT8|1302	0	0	0	0	1	0	0	0	0	0	0
PROKKA_129_MSG_01335 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_ATCC51146_01729 	No_Uniref	0	0	0	0	1	0	0	0	0	0	0
PROKKA_CAM_00994 	UniRef90_B9D244|396	0	0	0	0	0	0	0	0	1	0	0
PROKKA_ATCC51146_01984 	UniRef90_B9CY05|249	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_02091 	UniRef90_B9CYT2|486	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_01720 	UniRef90_M5II11|879	1	1	0	0	1	1	1	0	0	1	0
PROKKA_ATCC51146_01726 	UniRef90_C6RHK3|504	0	0	0	0	1	0	0	0	0	0	0
PROKKA_ATCC51146_01727 	UniRef90_C6RHK2|513	1	1	0	0	1	1	0	0	1	1	0
PROKKA_CC57c_00559 	UniRef90_M3I3G2|999	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CSUNSWCD_00055 	UniRef90_M5IPS0|201	0	0	0	0	0	0	1	0	0	0	0
PROKKA_ATCC51146_01616 	UniRef90_C6REM5|537	0	0	0	0	1	0	0	0	0	0	0
PROKKA_CC57c_00550 	UniRef90_C8PGB9|762	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CC57c_00881 	UniRef90_B9D1I1|1197	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_00880 	UniRef90_M3JDM6|540	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_00555 	UniRef90_M5IR09|699	0	0	1	0	0	0	0	0	1	0	0
PROKKA_CC57c_00886 	UniRef90_B9D1I6|948	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_00885 	UniRef90_A7GWL7|1968	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_01611 	UniRef90_C6RIE0|1554	0	0	0	0	1	0	0	0	0	0	0
PROKKA_B32_SW_00270 	UniRef90_B9D3A6|1476	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_00746 	UniRef90_C6RCS1|927	0	0	0	0	1	0	0	0	0	0	0
PROKKA_ATCC51146_00745 	UniRef90_C6RCS0|480	0	0	0	0	1	0	0	0	0	0	0
PROKKA_129_MSG_02135 	UniRef90_M3JD82|708	0	1	1	0	0	1	0	0	0	1	0
PROKKA_129_MSG_02132 	UniRef90_U2GX47|549	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_01333 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_CC57c_00399 	UniRef90_M3H0V6|2373	0	0	1	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_00838 	UniRef90_M3IJD2|351	0	0	1	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_00837 	UniRef90_B9D5I8|864	0	0	1	1	0	0	0	1	0	0	1
PROKKA_129_MSG_01730 	No_Uniref	1	1	0	0	0	1	1	0	0	1	0
PROKKA_CAM_00104 	UniRef90_B9CYP0|987	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_01734 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_129_MSG_01737 	UniRef90_B9D1J1|1026	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_01736 	UniRef90_M5INZ9|1023	1	1	0	0	0	1	1	0	0	1	0
PROKKA_129_MSG_01597 	UniRef90_B9D224|1248	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_01184 	UniRef90_B9D3P0|969	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_01564 	UniRef90_B9D1A3|780	1	1	0	0	0	1	1	0	0	1	0
PROKKA_CSUNSWCD_00056 	UniRef90_M5IN75|147	0	0	0	0	0	0	1	0	0	0	0
PROKKA_129_MSG_00868 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_CAM_01180 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_129_MSG_00867 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_129_MSG_00864 	UniRef90_A7H0G7|450	1	1	1	0	1	1	1	0	1	1	0
PROKKA_129_MSG_01535 	No_Uniref	0	1	1	0	0	1	0	0	0	1	0
PROKKA_129_MSG_00860 	UniRef90_C6RH80|657	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_00861 	UniRef90_A7H0G4|699	1	1	1	1	0	1	1	1	1	1	1
PROKKA_CAM_02017 	UniRef90_B9CZ20|375	0	0	0	0	0	0	0	0	1	0	0
PROKKA_ATCC51146_01437 	UniRef90_C6RIA0|1185	1	1	1	0	1	1	1	0	1	1	0
PROKKA_CC57c_00373 	UniRef90_B9CYV0|786	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_02138 	UniRef90_M3JD86|795	0	1	1	0	0	1	0	0	1	1	0
PROKKA_B91_SCBr_00237 	UniRef90_M3III5|1278	0	0	1	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_00236 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SC_01018 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B32_SW_02296 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_129_MSG_01244 	UniRef90_B9D036|372	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_00675 	UniRef90_C6RHD7|492	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_02297 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_CC57c_00779 	UniRef90_M3ILB1|1323	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00903 	UniRef90_B9CZQ1|1332	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_02008 	UniRef90_A7ZC19|744	1	1	0	0	0	1	1	0	0	1	0
PROKKA_B91_SCBr_00900 	UniRef90_M5IS22|354	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00906 	UniRef90_C6RHG3|942	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_00773 	UniRef90_M3GZM4|585	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_02291 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_129_MSG_01025 	UniRef90_M5IRV7|879	1	1	0	0	0	1	1	0	0	1	0
PROKKA_ATCC51146_00522 	UniRef90_C6REM6|5421	0	0	0	0	1	0	0	0	0	0	0
PROKKA_CAM_01215 	UniRef90_M5IEN4|1869	0	0	1	1	1	0	0	1	1	0	1
PROKKA_129_MSG_01026 	UniRef90_B9CY20|567	0	1	0	0	0	1	0	0	0	1	0
PROKKA_CC57c_00087 	UniRef90_M3H1K5|285	0	0	1	0	0	0	0	0	0	0	0
PROKKA_B32_SW_02292 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_129_MSG_01023 	UniRef90_T2LGZ7|192	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00098 	UniRef90_A7GZM0|567	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_00516 	UniRef90_M5IMC1|501	1	1	0	0	0	1	1	0	0	1	0
PROKKA_ATCC51146_00529 	UniRef90_C6RFQ4|591	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_00515 	No_Uniref	1	1	0	0	0	1	1	0	0	1	0
PROKKA_129_MSG_01028 	UniRef90_B9D5Q9|666	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_00918 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_CSUNSWCD_00050 	UniRef90_M5IPR5|414	0	0	0	0	0	0	1	0	0	0	0
PROKKA_129_MSG_00164 	UniRef90_M5II05|393	1	1	0	0	0	1	1	0	1	1	0
PROKKA_B91_SCBr_00341 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_00340 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_00342 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CAM_00926 	UniRef90_M5IT70|642	1	1	0	1	1	1	1	1	1	1	1
PROKKA_CC57c_00117 	UniRef90_M3I4Q8|153	0	0	1	0	0	0	0	0	0	0	0
PROKKA_B91_SCBr_00588 	UniRef90_M3JDV7|537	0	0	1	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_00587 	UniRef90_U2F6C6|1260	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_00586 	UniRef90_U2F6W7|471	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_00585 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CAM_01434 	UniRef90_C6RGL5|2556	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00583 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_00582 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_00581 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CAM_00929 	UniRef90_C6RIJ4|810	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_01447 	UniRef90_M3IMZ4|333	0	1	1	0	0	1	0	0	0	1	0
PROKKA_CAM_00853 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_129_MSG_00468 	UniRef90_B9D0J7|1182	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_01508 	UniRef90_B9D2V9|255	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_00856 	UniRef90_B9CZD9|657	0	0	0	0	0	0	0	0	1	0	0
PROKKA_129_MSG_01114 	UniRef90_C6RJ59|810	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_01116 	UniRef90_M3J9J7|1437	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_00417 	UniRef90_B9D3C8|3852	0	0	0	0	1	0	0	0	0	0	0
PROKKA_CAM_01502 	UniRef90_C6RF43|2997	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_01501 	No_Uniref	0	0	0	1	0	0	0	1	1	0	1
PROKKA_129_MSG_00461 	UniRef90_B9D528|969	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_00413 	UniRef90_C6REY6|3408	1	1	1	0	1	1	1	0	1	1	0
PROKKA_129_MSG_00467 	UniRef90_C6RH51|495	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_00179 	UniRef90_B9CY36|486	1	1	1	1	0	1	1	1	1	1	1
PROKKA_CC57c_00178 	UniRef90_B9CY33|684	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_01988 	UniRef90_M3HZ72|1380	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_01828 	UniRef90_C6RH83|204	0	0	0	0	1	0	0	0	0	0	0
PROKKA_B91_SCBr_01981 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_02085 	UniRef90_M3IHL2|282	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_01985 	UniRef90_A7GZ58|822	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_01986 	No_Uniref	0	0	1	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_01987 	UniRef90_M3J8B6|417	0	0	1	1	0	0	0	1	0	0	1
PROKKA_CAM_00988 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_B91_SCBr_01182 	UniRef90_B9D527|666	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_01185 	UniRef90_B9D524|405	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CSUNSWCD_02172 	UniRef90_C6RH31|1833	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00161 	UniRef90_M3H0E5|342	0	0	1	1	1	0	0	1	0	0	1
PROKKA_B91_SCBr_00160 	UniRef90_C6RGQ5|828	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00690 	UniRef90_B9CY00|393	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00164 	UniRef90_M3GY19|636	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00695 	UniRef90_M3JAI6|1260	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00166 	No_Uniref	0	0	0	1	0	0	0	1	1	0	1
PROKKA_B91_SCBr_01742 	UniRef90_M3H002|834	0	0	1	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_01743 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_01964 	UniRef90_M3I0F6|1362	0	0	1	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_01741 	UniRef90_M3I0E2|366	0	0	1	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_01962 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_01747 	UniRef90_I6UT72|360	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_01744 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CC57c_01578 	UniRef90_M3I0J1|441	0	0	1	0	0	0	0	0	0	0	0
PROKKA_B91_SCBr_01748 	UniRef90_B9D3C5|1167	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_00249 	UniRef90_M5IH96|576	0	1	0	0	0	1	0	0	0	1	0
PROKKA_CAM_02066 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_129_MSG_00880 	UniRef90_C6RGX7|1221	1	1	0	0	1	1	1	0	1	1	0
