gene	B32_SW	B91_SC	B91_SCBr	B91_TPP	CAM	129_MSG	129_VTPP	129_VTPPs	CC57c	ATCC51146	CSUNSWCD	C_jejuni_ATCC_700819
pseB	1	1	1	1	1	1	1	1	1	1	1	1
pseC	1	1	1	1	1	1	1	1	1	1	1	1
pseD/maf2	0	0	0	0	0	0	0	0	0	0	0	1
pseE/maf5	0	0	0	0	0	0	0	0	0	0	0	1
pseF	1	1	1	1	1	1	1	1	1	1	1	1
pseG	1	1	1	1	1	1	1	1	1	1	1	1
pseH	1	1	1	1	1	1	1	1	1	1	1	1
pseI	1	1	1	1	1	1	1	1	1	1	1	1
ptmA	0	1	1	1	0	0	0	0	0	0	0	1
ptmB	0	0	0	0	0	0	0	0	0	0	0	1
rfbC	0	0	0	0	0	0	0	0	0	0	0	1
rfbD	1	0	0	0	1	1	1	1	0	1	1	0
rfbM	1	0	0	0	1	0	0	0	0	1	1	0
rpoN	1	1	1	1	1	1	1	1	1	1	1	1
sodB	1	1	1	1	1	1	1	1	1	1	1	1
sodCI	1	1	1	1	1	1	1	1	1	1	1	0
tviB	1	1	1	1	1	1	1	1	1	1	1	0
vipA/mglA	0	0	0	0	1	0	0	0	0	0	0	0
vipB/mglB	0	0	0	0	1	0	0	0	0	0	0	0
virB10	1	0	0	0	1	1	1	1	1	0	1	0
virB11	1	0	0	0	1	1	1	1	1	0	1	0
virB4	1	0	0	0	1	1	1	1	1	0	1	0
virB8	1	0	0	0	1	1	1	1	1	0	1	0
virB9	1	0	0	0	1	1	1	1	1	0	1	0
virD4	1	0	0	0	1	1	1	1	1	0	1	0
waaC	1	1	1	1	1	1	1	1	1	1	1	1
waaF	1	1	1	1	1	1	1	1	1	1	1	1
waaV	0	0	0	0	0	0	0	0	0	0	0	1
wlaN	0	0	0	0	0	0	0	0	0	0	0	1
ybtP	0	0	0	0	1	0	0	0	0	0	0	0
